country,current_resistance_fraction_start,baseline_modeled_infant_cases_per_100k,baseline_modeled_infant_burden_category,best_program_only_strategy,best_program_plus_resistance_strategy,best_future_product_target_strategy,minimum_regret_program_plus_resistance_strategy,age_pattern_agreement,interpretation_strength
Australia,0.043,2392.8680214438573,Higher modeled infant burden,Routine timeliness,Routine timeliness,Combined future stress-test portfolio,Routine timeliness,Weak external age-pattern agreement (weight 0.44),Externally discordant
Brazil,0.01,20.12794841275923,Lower modeled infant burden,Infant-exposure reduction,Infant-exposure reduction,Combined future stress-test portfolio,Routine timeliness,Not externally assessed; no comparable public age-pattern check,Not externally assessed
China,0.997,273.8842553083419,Intermediate modeled infant burden,Infant-exposure reduction,Infant-exposure reduction,Combined future stress-test portfolio,Routine timeliness,Not externally assessed; no comparable public age-pattern check,Not externally assessed
Japan,0.827,435.42413909926825,Intermediate modeled infant burden,Infant-exposure reduction,Infant-exposure reduction,Combined future stress-test portfolio,Routine timeliness,Not externally assessed; no comparable public age-pattern check,Not externally assessed
New_Zealand,0.0099999999999999,1523.8365949471704,Higher modeled infant burden,Routine timeliness,Routine timeliness,Combined future stress-test portfolio,Routine timeliness,Not externally assessed; no comparable public age-pattern check,Not externally assessed
South_Africa,0.02,47.3233488251206,Intermediate modeled infant burden,Adolescent booster,Adolescent booster,Combined future stress-test portfolio,Infant-exposure reduction,Not externally assessed; no comparable public age-pattern check,Not externally assessed
Sweden,0.01,408.9096374585448,Intermediate modeled infant burden,Routine timeliness,Routine timeliness,High-transmission-blocking vaccine target,Routine timeliness,Acceptable external age-pattern agreement (weight 0.56),Externally supported
Thailand,0.01,15.561294058651807,Lower modeled infant burden,Infant-exposure reduction,Infant-exposure reduction,Combined future stress-test portfolio,Routine timeliness,Not externally assessed; no comparable public age-pattern check,Not externally assessed
United_Kingdom,0.003,1254.512320627877,Higher modeled infant burden,Routine timeliness,Routine timeliness,Combined future stress-test portfolio,Routine timeliness,Weak external age-pattern agreement (weight 0.38),Externally discordant
United_States,0.0,30.587593148979558,Lower modeled infant burden,Infant-exposure reduction,Infant-exposure reduction,High-transmission-blocking vaccine target,Routine timeliness,Acceptable external age-pattern agreement (weight 0.96),Externally supported
